trial,state,l1,spectral,quantile,gradient,nll,seed,epoch,bulk_crps,extreme_crps,crps_total,crps_total_std,crps_total_sem,u_rmse,v_rmse,num_eval_seeds,is_best
0,COMPLETE,1.0,0.258,0.241,0.25,0.5,2,6,2.6021830477876153,5.346654892617984,7.948837940405599,0.02027840304710543,0.011707741457982049,2.61046079197423,2.7025786439830046,3,True
1,COMPLETE,1.0,0.37799413725810743,1.2978293758387227,0.5586294093697154,0.710363057053057,2,6,2.707671264447598,5.51011395483685,8.217785219284446,0.01703457717098833,0.009834917715201567,2.7123092903795154,2.8318037462745416,3,False
2,COMPLETE,1.0,0.14197219410164247,0.7546689579757051,0.1534140364633479,10.719910464014088,2,6,2.61078460958066,5.456144146184946,8.066928755765606,0.014803399638160674,0.008546746766013674,2.613331669723698,2.7139064417339784,3,False
3,COMPLETE,1.0,9.707735846543363,0.09681849245815684,2.4502149596921465,0.6268349573393963,2,6,2.5907794167360767,5.346902695067974,7.93768211180405,0.0180019243563532,0.0103934158730718,2.5964262837361125,2.6895399454298734,3,True
4,COMPLETE,1.0,0.43937064983299007,6.732384127080884,0.00871658297278543,0.019772433946933274,2,6,3.723577847744941,6.75220474287529,10.47578259062023,0.11302070946179052,0.06525253703176724,3.5889692669590563,3.8082073716099285,3,False
5,PRUNED,1.0,0.0060443639015903446,3.252664902010789,2.2034335682134554,9.04167904206247,0,1,2.649644123272458,5.4410781500953345,8.090722273367792,,,2.6507391223416326,2.774195399777447,,False
6,PRUNED,1.0,10.91279809038693,2.5034556200828186,0.184947809739486,4.489431154557944,0,1,2.674117099966066,5.460683662311009,8.134800762277075,,,2.671696024122887,2.809089446726908,,False
7,PRUNED,1.0,0.013017845272218496,0.7202118769366075,0.015348851170658229,16.215423967381255,0,1,2.625333416754072,5.402737285565225,8.028070702319297,,,2.62574671385345,2.7291692463295596,,False
8,COMPLETE,1.0,0.30609694317908165,0.12360710479098863,0.03961996643000989,4.273656667998369,2,6,2.6106517639180242,5.432754348721725,8.04340611263975,0.018519732019199445,0.010692372266604532,2.612439728600306,2.7125575487877023,3,False
9,COMPLETE,1.0,0.18307167935644872,0.411672157410194,0.005791840840920128,1.2551290061824016,2,6,2.6112672542751523,5.394734463693577,8.006001717968728,0.01616416167717347,0.009332383095540736,2.6165982548643583,2.7168846595356375,3,False
